"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"BLMT","BSB Bancorp, Inc.","13.71","128631853.98","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/blmt",
"BSDM","BSD Medical Corporation","1.15","34216169.65","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/bsdm",
"BSQR","BSQUARE Corporation","3.13","34856093.16","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/bsqr",
"BTUI","BTU International, Inc.","2.27","21635306.44","n/a","1989","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/btui",
"BWLD","Buffalo Wild Wings, Inc.","91.88","1723415119.32","n/a","2003","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bwld",
"BLDR","Builders FirstSource, Inc.","6.58","637603605.52","n/a","2005","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/bldr",
"BUR","Burcon Nutrascience Corp","2.61","82540448.73","n/a","1992","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/bur",
"CFFI","C&F Financial Corporation","41.66","136133923.42","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cffi",
"CHRW","C.H. Robinson Worldwide, Inc.","60.47","9628289006.69","n/a","1997","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/chrw",
"CA","CA Inc.","27.73","12642763424.56","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ca",
"CCMP","Cabot Microelectronics Corporation","34.26","799422189.06","n/a","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/ccmp",
"CACH","Cache, Inc.","3.71","49641157.86","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/cach",
"CDNS","Cadence Design Systems, Inc.","13.89","3930801272.28","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cdns",
"CADX","Cadence Pharmaceuticals, Inc.","6.86","587928321.82","n/a","1985","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cadx",
"CDZI","Cadiz, Inc.","5.68","87771654.08","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/cdzi",
"CZR","Caesars Entertainment Corporation","15.31","1919295236.07","n/a","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/czr",
"CSTE","CaesarStone Sdot-Yam Ltd.","23.87","825747537.23","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cste",
"PRSS","CafePress Inc.","6.09","104297321.73","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/prss",
"CLMS","Calamos Asset Management, Inc.","11.16","228481637.4","n/a","2004","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/clms",
"CHY","Calamos Convertible and High Income Fund","12.99","937207495.17","n/a","1991","n/a","n/a","http://www.nasdaq.com/symbol/chy",
"CHI","Calamos Convertible Opportunities and Income Fund","12.79","863932947.07","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/chi",
"CHW","Calamos Global Dynamic Income Fund","9.13","538733836.96","n/a","1986","n/a","n/a","http://www.nasdaq.com/symbol/chw",
"CGO","Calamos Global Total Return Fund","14.73","123041693.28","n/a","2005","n/a","n/a","http://www.nasdaq.com/symbol/cgo",
"CSQ","Calamos Strategic Total Return Fund","10.66","1647119240","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/csq",
"CAMP","CalAmp Corp.","12.01","420969932.18","n/a","1983","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/camp",
"CVGW","Calavo Growers, Inc.","29.09","431900189.97","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/cvgw",
"CFNB","California First National Bancorp","16.06","167782465.62","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cfnb",
"CALD","Callidus Software, Inc.","4.93","183796350.51","n/a","2000","Technology","EDP Services","http://www.nasdaq.com/symbol/cald",
"CALM","Cal-Maine Foods, Inc.","41.48","900049590.52","n/a","1996","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/calm",
"CLMT","Calumet Specialty Products Partners, L.P.","36.85","2331859819.3","n/a","1996","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/clmt",
"ABCD","Cambium Learning Group, Inc.","0.95","44558990","n/a","n/a","Consumer Services","Publishing","http://www.nasdaq.com/symbol/abcd",
"CAFI","Camco Financial Corporation","3.53","47756371.01","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/cafi",
"CAC","Camden National Corporation","33.63","257431226.67","n/a","1987","Finance","Major Banks","http://www.nasdaq.com/symbol/cac",
"CAMT","Camtek Ltd.","1.47","43950795","n/a","2000","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/camt",
"CSIQ","Canadian Solar Inc.","5.58","241292737.08","n/a","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/csiq",
"CPHC","Canterbury Park Holding Corporation","11.9799","49719999.2715","n/a","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/cphc",
"CBNJ","Cape Bancorp, Inc.","9.09","121304013.84","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cbnj",
"CPLA","Capella Education Company","36.25","449241175","n/a","2006","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/cpla",
"CBF","Capital Bank Financial Corp.","17.4","575040472.2","n/a","1970","Finance","Major Banks","http://www.nasdaq.com/symbol/cbf",
"CCBG","Capital City Bank Group","11.97","207233856.9","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ccbg",
"CPLP","Capital Product Partners L.P.","9.06","628511017.62","n/a","2007","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cplp",
"CSWC","Capital Southwest Corporation","116.24","441757682.32","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cswc",
"CFFN","Capitol Federal Financial, Inc.","11.83","1799637058.31","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cffn",
"CPST","Capstone Turbine Corporation","0.8699","264942248.7272","n/a","1986","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cpst",
"CARB","Carbonite, Inc.","10","259669620","n/a","1992","Technology","EDP Services","http://www.nasdaq.com/symbol/carb",
"CRDC","Cardica, Inc.","1.24","45835366.2","n/a","2006","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/crdc",
"CFNL","Cardinal Financial Corporation","15.26","461674605.56","n/a","1998","Finance","Major Banks","http://www.nasdaq.com/symbol/cfnl",
"CRME","Cardiome Pharma Corporation","2.1001","26188956.8338","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/crme",
"BEAT","CardioNet, Inc.","2.75","69796806.75","n/a","2008","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/beat",
"CSII","Cardiovascular Systems, Inc.","17.98","379210498.32","n/a","1981","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/csii",
"CATM","Cardtronics, Inc.","28.62","1288175839.56","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/catm",
"CECO","Career Education Corporation","2.26","151288391.16","n/a","1998","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/ceco",
"CKEC","Carmike Cinemas, Inc.","17.35","309556878.25","n/a","n/a","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/ckec",
"CLBH","Carolina Bank Holdings Inc.","11.88","40258623.24","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/clbh",
"CART","Carolina Trust Bank","2.78","12883248.36","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cart",
"CRZO","Carrizo Oil & Gas, Inc.","25.85","1043810255.95","n/a","1997","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crzo",
"CRRB","Carrollton Bancorp","5.54","51828794.12","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/crrb",
"TAST","Carrols Restaurant Group, Inc.","4.99","118107985.65","n/a","2006","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/tast",
"CARV","Carver Bancorp, Inc.","5.4599","20176077.668","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/carv",
"CASM","CAS Medical Systems, Inc.","1.92","26300073.6","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/casm",
"CACB","Cascade Bancorp","5.83","275912363.98","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cacb",
"CSCD","Cascade Microtech, Inc.","6.64","94582012.56","n/a","2004","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/cscd",
"CWST","Casella Waste Systems, Inc.","3.98","157791223.28","n/a","1997","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/cwst",
"CASY","Caseys General Stores, Inc.","59.25","2271052914.75","n/a","1983","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/casy",
"CASS","Cass Information Systems, Inc","41.66","478235845.02","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cass",
"CPRX","Catalyst Pharmaceutical Partners, Inc.","0.795","32929446.165","n/a","2006","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cprx",
"CTRX","Catamaran Corporation","52.4","10789395957.2","n/a","2004","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/ctrx",
"CATY","Cathay General Bancorp","19.77","1559046542.16","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/caty",
"CVCO","Cavco Industries, Inc.","45.3","315648316.2","n/a","n/a","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/cvco",
"CAVM","Cavium, Inc.","33.78","1734116736.9","n/a","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/cavm",
